Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
408 /api/goal/getFilteredRangeUserActivity,50,4054,3480,8050,8565,11948,407,11948,0.000%,.61704,3.04,0.27
410 /api/goal/updateUserActivity,50,3072,2882,6162,7472,8449,312,8449,0.000%,.69043,2.53,0.34
411 /api/goal/updateUserActivity,50,2511,2205,4294,4426,7706,298,7706,0.000%,.69372,2.55,0.34
412 /api/goal/updateUserActivity,50,2315,1686,4439,5396,6649,308,6649,0.000%,.69954,2.57,0.34
413 /api/goal/updateUserActivity,50,2191,1708,3676,5928,8113,309,8113,0.000%,.67723,2.48,0.33
414 /api/goal/updateUserActivity,50,1879,1310,3468,3902,8465,309,8465,0.000%,.65473,2.40,0.32
415 /api/goal/updateUserActivity,50,1621,1189,3179,4363,6217,327,6217,0.000%,.68159,2.50,0.33
416 /api/goal/updateUserActivity,50,1639,1029,3336,4179,7079,312,7079,0.000%,.66946,2.46,0.33
418 /api/goal/updateUserActivity,50,1838,1191,3626,3692,7928,311,7928,0.000%,.63745,2.34,0.31
417 /api/goal/updateUserActivity,50,1597,1018,3476,3975,8062,311,8062,0.000%,.59191,2.17,0.29
419 /api/goal/updateUserActivity,50,1470,842,3751,4891,8034,317,8034,0.000%,.56939,2.09,0.28
420 /api/goal/updateUserActivity,50,1549,1074,3395,4330,8970,312,8970,0.000%,.53241,1.95,0.26
421 /api/goal/updateUserActivity,50,1808,861,5871,6207,7468,306,7468,0.000%,.50023,1.84,0.25
423 /api/goal/updateUserActivity,50,2025,1007,6481,7388,9983,308,9983,0.000%,.46380,1.70,0.23
422 /api/goal/updateUserActivity,50,2199,1165,5921,6465,9643,325,9643,0.000%,.43086,1.58,0.21
424 /api/goal/updateUserActivity,50,2351,1357,5985,6933,7847,325,7847,0.000%,.40837,1.50,0.20
425 /api/goal/updateUserActivity,50,2754,1827,6869,8023,8682,302,8682,0.000%,.38776,1.42,0.19
426 /api/goal/calculateuseractivity,50,4610,3839,9085,10711,16709,541,16709,0.000%,.34410,1.42,0.14
427 /api/goal/calculateuseractivity,50,5465,4788,9609,10466,14563,1011,14563,0.000%,.31799,1.31,0.13
431 /sync/i/s?hl=en_IN&c=5,50,0,1,1,2,2,0,2,100.000%,.32039,0.52,0.00
428 /api/goal/userGoals,50,10647,10348,16649,18269,30972,3048,30972,2.000%,.28947,9.26,0.11
430 /api/goal/calculateuseractivity,50,7501,7568,11155,11647,16327,1681,16327,0.000%,.27696,1.14,0.11
429 /api/goal/userGoals,50,12981,12112,18127,22626,25185,7026,25185,0.000%,.25813,8.42,0.10
432 /api/goal/userGoals,50,15153,14636,21144,25241,26107,7501,26107,0.000%,.24773,8.08,0.10
433 /api/goal/calculateuseractivity,50,10393,9864,14290,15609,20402,4922,20402,0.000%,.23943,0.99,0.10
435 /api/goal/calculateuseractivity,50,10481,9883,13874,16435,22946,5515,22946,0.000%,.22628,0.93,0.09
